ride,datetime,wait_times
Manatees - Disney Animals,2021-07-24 11:21:05.313171-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 11:21:05.313205-04:00,Closed
Monsieur Paul,2021-07-24 11:21:05.313238-04:00,Closed
Nine Dragons Restaurant,2021-07-24 11:21:05.313271-04:00,Closed
Palais du Cinéma,2021-07-24 11:21:05.313304-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 11:21:05.313338-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 11:21:05.313372-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 11:21:05.313405-04:00,Closed
Restaurant Marrakesh,2021-07-24 11:21:05.313448-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 11:21:05.313482-04:00,Closed
SeaBase,2021-07-24 11:21:05.313515-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 11:21:05.313548-04:00,Closed
Stave Church Gallery,2021-07-24 11:21:05.313588-04:00,Closed
Teppan Edo,2021-07-24 11:21:05.313621-04:00,Closed
Tokyo Dining,2021-07-24 11:21:05.313654-04:00,Closed
Tutto Italia Ristorante,2021-07-24 11:21:05.313686-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 11:21:05.313719-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 11:21:05.313752-04:00,Closed
Awesome Planet,2021-07-24 11:41:03.596616-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 11:41:03.596657-04:00,Open
Journey Into Imagination With Figment,2021-07-24 11:41:03.596691-04:00,10 mins
Living with the Land,2021-07-24 11:41:03.596724-04:00,5 mins
Mission: SPACE,2021-07-24 11:41:03.596764-04:00,10 mins
Soarin',2021-07-24 11:41:03.596798-04:00,15 mins
Spaceship Earth,2021-07-24 11:41:03.596831-04:00,45 mins
Test Track Presented by Chevrolet,2021-07-24 11:41:03.596864-04:00,80 mins
The Seas with Nemo & Friends,2021-07-24 11:41:03.596898-04:00,5 mins
Turtle Talk With Crush,2021-07-24 11:41:03.596931-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 11:41:03.596965-04:00,Open
Frozen Ever After,2021-07-24 11:41:03.597000-04:00,35 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 11:41:03.597033-04:00,5 mins
O Canada!,2021-07-24 11:41:03.597069-04:00,Closed
Advanced Training Lab,2021-07-24 11:41:03.597102-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 11:41:03.597135-04:00,Closed
American Heritage Gallery,2021-07-24 11:41:03.597194-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 11:41:03.597231-04:00,Closed
Bruce's Shark World,2021-07-24 11:41:03.597266-04:00,Closed
Chefs de France,2021-07-24 11:41:03.597299-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 11:41:03.597331-04:00,Closed
Gallery of Arts and History,2021-07-24 11:41:03.597363-04:00,Closed
House of the Whispering Willows,2021-07-24 11:41:03.597395-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 11:41:03.597427-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 11:41:03.597460-04:00,Closed
Kidcot Fun Stops,2021-07-24 11:41:03.597493-04:00,Closed
La Cava del Tequila,2021-07-24 11:41:03.597525-04:00,Closed
Manatees - Disney Animals,2021-07-24 11:41:03.597557-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 11:41:03.597590-04:00,Closed
Monsieur Paul,2021-07-24 11:41:03.597622-04:00,Closed
Nine Dragons Restaurant,2021-07-24 11:41:03.597654-04:00,Closed
Palais du Cinéma,2021-07-24 11:41:03.597686-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 11:41:03.597718-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 11:41:03.597758-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 11:41:03.597791-04:00,Closed
Restaurant Marrakesh,2021-07-24 11:41:03.597824-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 11:41:03.597856-04:00,Closed
SeaBase,2021-07-24 11:41:03.597888-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 11:41:03.597920-04:00,Closed
Stave Church Gallery,2021-07-24 11:41:03.597951-04:00,Closed
Teppan Edo,2021-07-24 11:41:03.597983-04:00,Closed
Tokyo Dining,2021-07-24 11:41:03.598027-04:00,Closed
Tutto Italia Ristorante,2021-07-24 11:41:03.598058-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 11:41:03.598090-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 11:41:03.598123-04:00,Closed
Awesome Planet,2021-07-24 12:01:03.888050-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 12:01:03.888091-04:00,Open
Journey Into Imagination With Figment,2021-07-24 12:01:03.888125-04:00,10 mins
Living with the Land,2021-07-24 12:01:03.888159-04:00,10 mins
Mission: SPACE,2021-07-24 12:01:03.888193-04:00,10 mins
Soarin',2021-07-24 12:01:03.888226-04:00,20 mins
Spaceship Earth,2021-07-24 12:01:03.888258-04:00,35 mins
Test Track Presented by Chevrolet,2021-07-24 12:01:03.888291-04:00,80 mins
The Seas with Nemo & Friends,2021-07-24 12:01:03.888324-04:00,5 mins
Turtle Talk With Crush,2021-07-24 12:01:03.888357-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 12:01:03.888391-04:00,Open
Frozen Ever After,2021-07-24 12:01:03.888425-04:00,35 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 12:01:03.888458-04:00,5 mins
O Canada!,2021-07-24 12:01:03.888492-04:00,Closed
Advanced Training Lab,2021-07-24 12:01:03.888524-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 12:01:03.888557-04:00,Closed
American Heritage Gallery,2021-07-24 12:01:03.888590-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 12:01:03.888623-04:00,Closed
Bruce's Shark World,2021-07-24 12:01:03.888655-04:00,Closed
Chefs de France,2021-07-24 12:01:03.888699-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 12:01:03.888732-04:00,Closed
Gallery of Arts and History,2021-07-24 12:01:03.888765-04:00,Closed
House of the Whispering Willows,2021-07-24 12:01:03.888808-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 12:01:03.888843-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 12:01:03.888877-04:00,Closed
Kidcot Fun Stops,2021-07-24 12:01:03.888910-04:00,Closed
La Cava del Tequila,2021-07-24 12:01:03.888943-04:00,Closed
Manatees - Disney Animals,2021-07-24 12:01:03.888976-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 12:01:03.889009-04:00,Closed
Monsieur Paul,2021-07-24 12:01:03.889042-04:00,Closed
Nine Dragons Restaurant,2021-07-24 12:01:03.889075-04:00,Closed
Palais du Cinéma,2021-07-24 12:01:03.889108-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 12:01:03.889141-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 12:01:03.889187-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 12:01:03.889221-04:00,Closed
Restaurant Marrakesh,2021-07-24 12:01:03.889253-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 12:01:03.889286-04:00,Closed
SeaBase,2021-07-24 12:01:03.889318-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 12:01:03.889350-04:00,Closed
Stave Church Gallery,2021-07-24 12:01:03.889383-04:00,Closed
Teppan Edo,2021-07-24 12:01:03.889415-04:00,Closed
Tokyo Dining,2021-07-24 12:01:03.889447-04:00,Closed
Tutto Italia Ristorante,2021-07-24 12:01:03.889479-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 12:01:03.889511-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 12:01:03.889547-04:00,Closed
Awesome Planet,2021-07-24 12:21:04.230936-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 12:21:04.230978-04:00,Open
Journey Into Imagination With Figment,2021-07-24 12:21:04.231013-04:00,10 mins
Living with the Land,2021-07-24 12:21:04.231049-04:00,20 mins
Mission: SPACE,2021-07-24 12:21:04.231083-04:00,30 mins
Soarin',2021-07-24 12:21:04.231116-04:00,35 mins
Spaceship Earth,2021-07-24 12:21:04.231149-04:00,25 mins
Test Track Presented by Chevrolet,2021-07-24 12:21:04.231182-04:00,55 mins
The Seas with Nemo & Friends,2021-07-24 12:21:04.231216-04:00,15 mins
Turtle Talk With Crush,2021-07-24 12:21:04.231250-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 12:21:04.231283-04:00,Open
Frozen Ever After,2021-07-24 12:21:04.231318-04:00,30 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 12:21:04.231352-04:00,5 mins
O Canada!,2021-07-24 12:21:04.231393-04:00,Closed
Advanced Training Lab,2021-07-24 12:21:04.231426-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 12:21:04.231459-04:00,Closed
American Heritage Gallery,2021-07-24 12:21:04.231492-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 12:21:04.231526-04:00,Closed
Bruce's Shark World,2021-07-24 12:21:04.231559-04:00,Closed
