Slinky Dog Dash,2021-07-25 16:21:12.062586-04:00,90 mins
Star Wars Launch Bay,2021-07-25 16:21:12.062619-04:00,Closed
Tune-In Lounge,2021-07-25 16:21:12.062651-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 16:41:03.924691-04:00,Closed
Walt Disney Presents,2021-07-25 16:41:03.924727-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 16:41:03.924761-04:00,5 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 16:41:03.924795-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 16:41:03.924829-04:00,50 mins
Muppet*Vision 3D,2021-07-25 16:41:03.924862-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 16:41:03.924899-04:00,40 mins
Millennium Falcon,2021-07-25 16:41:03.924932-04:00,65 mins
SWGE Attraction 2,2021-07-25 16:41:03.924965-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 16:41:03.924997-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 16:41:03.925031-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-25 16:41:03.925064-04:00,50 mins
Alien Swirling Saucers,2021-07-25 16:41:03.925097-04:00,35 mins
Slinky Dog Dash,2021-07-25 16:41:03.925129-04:00,90 mins
Star Wars Launch Bay,2021-07-25 16:41:03.925161-04:00,Closed
Tune-In Lounge,2021-07-25 16:41:03.925194-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 17:01:05.535831-04:00,Closed
Walt Disney Presents,2021-07-25 17:01:05.535896-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 17:01:05.535937-04:00,5 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 17:01:05.535971-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 17:01:05.536006-04:00,50 mins
Muppet*Vision 3D,2021-07-25 17:01:05.536040-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 17:01:05.536073-04:00,40 mins
Millennium Falcon,2021-07-25 17:01:05.536110-04:00,65 mins
SWGE Attraction 2,2021-07-25 17:01:05.536143-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 17:01:05.536176-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 17:01:05.536216-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 17:01:05.536251-04:00,40 mins
Alien Swirling Saucers,2021-07-25 17:01:05.536284-04:00,35 mins
Slinky Dog Dash,2021-07-25 17:01:05.536317-04:00,90 mins
Star Wars Launch Bay,2021-07-25 17:01:05.536350-04:00,Closed
Tune-In Lounge,2021-07-25 17:01:05.536382-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 17:21:04.197909-04:00,Closed
Walt Disney Presents,2021-07-25 17:21:04.197954-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 17:21:04.197996-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 17:21:04.198044-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 17:21:04.198087-04:00,60 mins
Muppet*Vision 3D,2021-07-25 17:21:04.198128-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 17:21:04.198169-04:00,35 mins
Millennium Falcon,2021-07-25 17:21:04.198210-04:00,55 mins
SWGE Attraction 2,2021-07-25 17:21:04.198252-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 17:21:04.198293-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 17:21:04.198334-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 17:21:04.198375-04:00,45 mins
Alien Swirling Saucers,2021-07-25 17:21:04.198421-04:00,35 mins
Slinky Dog Dash,2021-07-25 17:21:04.198462-04:00,80 mins
Star Wars Launch Bay,2021-07-25 17:21:04.198502-04:00,Closed
Tune-In Lounge,2021-07-25 17:21:04.198546-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 17:41:03.515076-04:00,Closed
Walt Disney Presents,2021-07-25 17:41:03.515113-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 17:41:03.515184-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 17:41:03.515223-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 17:41:03.515257-04:00,60 mins
Muppet*Vision 3D,2021-07-25 17:41:03.515291-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 17:41:03.515324-04:00,40 mins
Millennium Falcon,2021-07-25 17:41:03.515357-04:00,55 mins
SWGE Attraction 2,2021-07-25 17:41:03.515389-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 17:41:03.515422-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 17:41:03.515455-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-25 17:41:03.515488-04:00,45 mins
Alien Swirling Saucers,2021-07-25 17:41:03.515522-04:00,20 mins
Slinky Dog Dash,2021-07-25 17:41:03.515557-04:00,80 mins
Star Wars Launch Bay,2021-07-25 17:41:03.515589-04:00,Closed
Tune-In Lounge,2021-07-25 17:41:03.515653-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 18:01:03.907217-04:00,Closed
Walt Disney Presents,2021-07-25 18:01:03.907253-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 18:01:03.907285-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 18:01:03.907320-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 18:01:03.907352-04:00,70 mins
Muppet*Vision 3D,2021-07-25 18:01:03.907384-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 18:01:03.907416-04:00,35 mins
Millennium Falcon,2021-07-25 18:01:03.907447-04:00,55 mins
SWGE Attraction 2,2021-07-25 18:01:03.907479-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 18:01:03.907510-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 18:01:03.907542-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 18:01:03.907573-04:00,45 mins
Alien Swirling Saucers,2021-07-25 18:01:03.907605-04:00,20 mins
Slinky Dog Dash,2021-07-25 18:01:03.907681-04:00,80 mins
Star Wars Launch Bay,2021-07-25 18:01:03.907743-04:00,Closed
Tune-In Lounge,2021-07-25 18:01:03.907777-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 18:21:04.209096-04:00,Closed
Walt Disney Presents,2021-07-25 18:21:04.209134-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 18:21:04.209168-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 18:21:04.209202-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 18:21:04.209236-04:00,60 mins
Muppet*Vision 3D,2021-07-25 18:21:04.209270-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 18:21:04.209303-04:00,35 mins
Millennium Falcon,2021-07-25 18:21:04.209336-04:00,50 mins
SWGE Attraction 2,2021-07-25 18:21:04.209368-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 18:21:04.209401-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 18:21:04.209434-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 18:21:04.209467-04:00,45 mins
Alien Swirling Saucers,2021-07-25 18:21:04.209500-04:00,20 mins
Slinky Dog Dash,2021-07-25 18:21:04.209533-04:00,70 mins
Star Wars Launch Bay,2021-07-25 18:21:04.209565-04:00,Closed
Tune-In Lounge,2021-07-25 18:21:04.209598-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 18:41:04.639067-04:00,Closed
Walt Disney Presents,2021-07-25 18:41:04.639104-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 18:41:04.639137-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 18:41:04.639170-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 18:41:04.639209-04:00,45 mins
Muppet*Vision 3D,2021-07-25 18:41:04.639242-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 18:41:04.639275-04:00,25 mins
Millennium Falcon,2021-07-25 18:41:04.639307-04:00,45 mins
SWGE Attraction 2,2021-07-25 18:41:04.639339-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 18:41:04.639373-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 18:41:04.639406-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 18:41:04.639441-04:00,45 mins
Alien Swirling Saucers,2021-07-25 18:41:04.639515-04:00,20 mins
Slinky Dog Dash,2021-07-25 18:41:04.639554-04:00,65 mins
Star Wars Launch Bay,2021-07-25 18:41:04.639587-04:00,Closed
Tune-In Lounge,2021-07-25 18:41:04.639646-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 19:01:05.223010-04:00,Closed
Walt Disney Presents,2021-07-25 19:01:05.223048-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 19:01:05.223083-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 19:01:05.223118-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 19:01:05.223153-04:00,45 mins
Muppet*Vision 3D,2021-07-25 19:01:05.223187-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 19:01:05.223221-04:00,30 mins
Millennium Falcon,2021-07-25 19:01:05.223254-04:00,45 mins
SWGE Attraction 2,2021-07-25 19:01:05.223309-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 19:01:05.223345-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 19:01:05.223379-04:00,50 mins
The Twilight Zone Tower of Terror,2021-07-25 19:01:05.223414-04:00,45 mins
Alien Swirling Saucers,2021-07-25 19:01:05.223447-04:00,20 mins
Slinky Dog Dash,2021-07-25 19:01:05.223481-04:00,65 mins
Star Wars Launch Bay,2021-07-25 19:01:05.223514-04:00,Closed
Tune-In Lounge,2021-07-25 19:01:05.223550-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 19:21:04.150417-04:00,Closed
Walt Disney Presents,2021-07-25 19:21:04.150454-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 19:21:04.150488-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 19:21:04.150522-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 19:21:04.150556-04:00,45 mins
Muppet*Vision 3D,2021-07-25 19:21:04.150589-04:00,Closed
Toy Story Midway Mania!,2021-07-25 19:21:04.150623-04:00,15 mins
Millennium Falcon,2021-07-25 19:21:04.150656-04:00,40 mins
SWGE Attraction 2,2021-07-25 19:21:04.150688-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 19:21:04.150725-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 19:21:04.150760-04:00,50 mins
The Twilight Zone Tower of Terror,2021-07-25 19:21:04.150793-04:00,30 mins
Alien Swirling Saucers,2021-07-25 19:21:04.150826-04:00,10 mins
Slinky Dog Dash,2021-07-25 19:21:04.150858-04:00,65 mins
Star Wars Launch Bay,2021-07-25 19:21:04.150891-04:00,Closed
Tune-In Lounge,2021-07-25 19:21:04.150923-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 19:41:03.913430-04:00,Closed
Walt Disney Presents,2021-07-25 19:41:03.913468-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 19:41:03.913502-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 19:41:03.913536-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 19:41:03.913570-04:00,45 mins
Muppet*Vision 3D,2021-07-25 19:41:03.913603-04:00,Closed
Toy Story Midway Mania!,2021-07-25 19:41:03.913636-04:00,5 mins
Millennium Falcon,2021-07-25 19:41:03.913668-04:00,30 mins
SWGE Attraction 2,2021-07-25 19:41:03.913707-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 19:41:03.913741-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 19:41:03.913774-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 19:41:03.913807-04:00,30 mins
Alien Swirling Saucers,2021-07-25 19:41:03.913839-04:00,5 mins
Slinky Dog Dash,2021-07-25 19:41:03.913872-04:00,50 mins
Star Wars Launch Bay,2021-07-25 19:41:03.913904-04:00,Closed
Tune-In Lounge,2021-07-25 19:41:03.913936-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 20:01:05.387253-04:00,Closed
Walt Disney Presents,2021-07-25 20:01:05.387291-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 20:01:05.387324-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 20:01:05.387358-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 20:01:05.387392-04:00,45 mins
Muppet*Vision 3D,2021-07-25 20:01:05.387425-04:00,Closed
Toy Story Midway Mania!,2021-07-25 20:01:05.387458-04:00,5 mins
Millennium Falcon,2021-07-25 20:01:05.387531-04:00,30 mins
SWGE Attraction 2,2021-07-25 20:01:05.387575-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 20:01:05.387609-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 20:01:05.387717-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-25 20:01:05.387751-04:00,30 mins
Alien Swirling Saucers,2021-07-25 20:01:05.387784-04:00,10 mins
Slinky Dog Dash,2021-07-25 20:01:05.387817-04:00,50 mins
Star Wars Launch Bay,2021-07-25 20:01:05.387849-04:00,Closed
Tune-In Lounge,2021-07-25 20:01:05.387881-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 20:21:04.191575-04:00,Closed
Walt Disney Presents,2021-07-25 20:21:04.191670-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 20:21:04.191712-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 20:21:04.191753-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 20:21:04.191788-04:00,Closed
Muppet*Vision 3D,2021-07-25 20:21:04.191822-04:00,Closed
Toy Story Midway Mania!,2021-07-25 20:21:04.191854-04:00,Closed
Millennium Falcon,2021-07-25 20:21:04.191887-04:00,Closed
SWGE Attraction 2,2021-07-25 20:21:04.191920-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 20:21:04.191953-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 20:21:04.191986-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 20:21:04.192018-04:00,Closed
Alien Swirling Saucers,2021-07-25 20:21:04.192051-04:00,Closed
Slinky Dog Dash,2021-07-25 20:21:04.192084-04:00,Closed
Star Wars Launch Bay,2021-07-25 20:21:04.192117-04:00,Closed
Tune-In Lounge,2021-07-25 20:21:04.192149-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 20:41:03.915528-04:00,Closed
Walt Disney Presents,2021-07-25 20:41:03.915566-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 20:41:03.915600-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 20:41:03.915714-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 20:41:03.915751-04:00,Closed
Muppet*Vision 3D,2021-07-25 20:41:03.915785-04:00,Closed
Toy Story Midway Mania!,2021-07-25 20:41:03.915818-04:00,Closed
Millennium Falcon,2021-07-25 20:41:03.915851-04:00,Closed
SWGE Attraction 2,2021-07-25 20:41:03.915884-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 20:41:03.915917-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 20:41:03.915950-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 20:41:03.915983-04:00,Closed
Alien Swirling Saucers,2021-07-25 20:41:03.916016-04:00,Closed
Slinky Dog Dash,2021-07-25 20:41:03.916048-04:00,Closed
Star Wars Launch Bay,2021-07-25 20:41:03.916081-04:00,Closed
Tune-In Lounge,2021-07-25 20:41:03.916115-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 21:01:03.581619-04:00,Closed
Walt Disney Presents,2021-07-25 21:01:03.581656-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 21:01:03.581690-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 21:01:03.581723-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 21:01:03.581756-04:00,Closed
Muppet*Vision 3D,2021-07-25 21:01:03.581789-04:00,Closed
Toy Story Midway Mania!,2021-07-25 21:01:03.581821-04:00,Closed
Millennium Falcon,2021-07-25 21:01:03.581854-04:00,Closed
SWGE Attraction 2,2021-07-25 21:01:03.581886-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 21:01:03.581918-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 21:01:03.581951-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 21:01:03.581983-04:00,Closed
Alien Swirling Saucers,2021-07-25 21:01:03.582016-04:00,Closed
Slinky Dog Dash,2021-07-25 21:01:03.582079-04:00,Closed
Star Wars Launch Bay,2021-07-25 21:01:03.582114-04:00,Closed
Tune-In Lounge,2021-07-25 21:01:03.582147-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 21:21:04.401108-04:00,Closed
Walt Disney Presents,2021-07-25 21:21:04.401146-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 21:21:04.401179-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 21:21:04.401234-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 21:21:04.401271-04:00,Closed
Muppet*Vision 3D,2021-07-25 21:21:04.401303-04:00,Closed
Toy Story Midway Mania!,2021-07-25 21:21:04.401335-04:00,Closed
Millennium Falcon,2021-07-25 21:21:04.401367-04:00,Closed
SWGE Attraction 2,2021-07-25 21:21:04.401399-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 21:21:04.401431-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 21:21:04.401463-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 21:21:04.401495-04:00,Closed
Alien Swirling Saucers,2021-07-25 21:21:04.401528-04:00,Closed
Slinky Dog Dash,2021-07-25 21:21:04.401563-04:00,Closed
Star Wars Launch Bay,2021-07-25 21:21:04.401595-04:00,Closed
Tune-In Lounge,2021-07-25 21:21:04.401626-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 21:41:03.859308-04:00,Closed
Walt Disney Presents,2021-07-25 21:41:03.859348-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 21:41:03.859382-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 21:41:03.859415-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 21:41:03.859449-04:00,Closed
Muppet*Vision 3D,2021-07-25 21:41:03.859483-04:00,Closed
Toy Story Midway Mania!,2021-07-25 21:41:03.859515-04:00,Closed
Millennium Falcon,2021-07-25 21:41:03.859554-04:00,Closed
SWGE Attraction 2,2021-07-25 21:41:03.859587-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 21:41:03.859649-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 21:41:03.859708-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 21:41:03.859747-04:00,Closed
Alien Swirling Saucers,2021-07-25 21:41:03.859781-04:00,Closed
Slinky Dog Dash,2021-07-25 21:41:03.859814-04:00,Closed
Star Wars Launch Bay,2021-07-25 21:41:03.859847-04:00,Closed
Tune-In Lounge,2021-07-25 21:41:03.859879-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 22:01:04.340239-04:00,Closed
Walt Disney Presents,2021-07-25 22:01:04.340277-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 22:01:04.340310-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 22:01:04.340344-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 22:01:04.340378-04:00,Closed
Muppet*Vision 3D,2021-07-25 22:01:04.340412-04:00,Closed
Toy Story Midway Mania!,2021-07-25 22:01:04.340445-04:00,Closed
Millennium Falcon,2021-07-25 22:01:04.340477-04:00,Closed
SWGE Attraction 2,2021-07-25 22:01:04.340510-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 22:01:04.340542-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 22:01:04.340575-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 22:01:04.340608-04:00,Closed
Alien Swirling Saucers,2021-07-25 22:01:04.340640-04:00,Closed
Slinky Dog Dash,2021-07-25 22:01:04.340673-04:00,Closed
Star Wars Launch Bay,2021-07-25 22:01:04.340705-04:00,Closed
Tune-In Lounge,2021-07-25 22:01:04.340745-04:00,Closed
