Toy Story Midway Mania!,2021-07-24 13:21:04.681316-04:00,45 mins
Millennium Falcon,2021-07-24 13:21:04.681348-04:00,90 mins
SWGE Attraction 2,2021-07-24 13:21:04.681379-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 13:21:04.681411-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 13:21:04.681443-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 13:21:04.681476-04:00,90 mins
Alien Swirling Saucers,2021-07-24 13:21:04.681507-04:00,40 mins
Slinky Dog Dash,2021-07-24 13:21:04.681539-04:00,90 mins
Star Wars Launch Bay,2021-07-24 13:21:04.681571-04:00,Closed
Tune-In Lounge,2021-07-24 13:21:04.681602-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 13:41:04.292257-04:00,Closed
Walt Disney Presents,2021-07-24 13:41:04.292295-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 13:41:04.292329-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 13:41:04.292363-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 13:41:04.292397-04:00,75 mins
Muppet*Vision 3D,2021-07-24 13:41:04.292430-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 13:41:04.292463-04:00,50 mins
Millennium Falcon,2021-07-24 13:41:04.292496-04:00,90 mins
SWGE Attraction 2,2021-07-24 13:41:04.292529-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 13:41:04.292562-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 13:41:04.292595-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-24 13:41:04.292628-04:00,90 mins
Alien Swirling Saucers,2021-07-24 13:41:04.292667-04:00,40 mins
Slinky Dog Dash,2021-07-24 13:41:04.292708-04:00,90 mins
Star Wars Launch Bay,2021-07-24 13:41:04.292741-04:00,Closed
Tune-In Lounge,2021-07-24 13:41:04.292774-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 14:01:03.875965-04:00,Closed
Walt Disney Presents,2021-07-24 14:01:03.876002-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 14:01:03.876036-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 14:01:03.876071-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 14:01:03.876105-04:00,70 mins
Muppet*Vision 3D,2021-07-24 14:01:03.876138-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 14:01:03.876171-04:00,50 mins
Millennium Falcon,2021-07-24 14:01:03.876204-04:00,90 mins
SWGE Attraction 2,2021-07-24 14:01:03.876237-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 14:01:03.876269-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 14:01:03.876302-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 14:01:03.876335-04:00,70 mins
Alien Swirling Saucers,2021-07-24 14:01:03.876368-04:00,40 mins
Slinky Dog Dash,2021-07-24 14:01:03.876401-04:00,95 mins
Star Wars Launch Bay,2021-07-24 14:01:03.876434-04:00,Closed
Tune-In Lounge,2021-07-24 14:01:03.876466-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 14:21:04.246687-04:00,Closed
Walt Disney Presents,2021-07-24 14:21:04.246732-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 14:21:04.246773-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 14:21:04.246815-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 14:21:04.246863-04:00,60 mins
Muppet*Vision 3D,2021-07-24 14:21:04.246904-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 14:21:04.246944-04:00,50 mins
Millennium Falcon,2021-07-24 14:21:04.246985-04:00,100 mins
SWGE Attraction 2,2021-07-24 14:21:04.247025-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 14:21:04.247065-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 14:21:04.247106-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-24 14:21:04.247146-04:00,85 mins
Alien Swirling Saucers,2021-07-24 14:21:04.247186-04:00,35 mins
Slinky Dog Dash,2021-07-24 14:21:04.247226-04:00,Closed
Star Wars Launch Bay,2021-07-24 14:21:04.247266-04:00,Closed
Tune-In Lounge,2021-07-24 14:21:04.247306-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 14:41:03.940761-04:00,Closed
Walt Disney Presents,2021-07-24 14:41:03.940798-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 14:41:03.940831-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 14:41:03.940865-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 14:41:03.940900-04:00,60 mins
Muppet*Vision 3D,2021-07-24 14:41:03.940933-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 14:41:03.940966-04:00,50 mins
Millennium Falcon,2021-07-24 14:41:03.940999-04:00,100 mins
SWGE Attraction 2,2021-07-24 14:41:03.941032-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 14:41:03.941065-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 14:41:03.941100-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-24 14:41:03.941133-04:00,60 mins
Alien Swirling Saucers,2021-07-24 14:41:03.941166-04:00,35 mins
Slinky Dog Dash,2021-07-24 14:41:03.941199-04:00,105 mins
Star Wars Launch Bay,2021-07-24 14:41:03.941240-04:00,Closed
Tune-In Lounge,2021-07-24 14:41:03.941274-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 15:01:03.945570-04:00,Closed
Walt Disney Presents,2021-07-24 15:01:03.945616-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 15:01:03.945657-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 15:01:03.945699-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 15:01:03.945740-04:00,60 mins
Muppet*Vision 3D,2021-07-24 15:01:03.945781-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 15:01:03.945823-04:00,50 mins
Millennium Falcon,2021-07-24 15:01:03.945864-04:00,100 mins
SWGE Attraction 2,2021-07-24 15:01:03.945904-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 15:01:03.945944-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 15:01:03.945984-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 15:01:03.946028-04:00,55 mins
Alien Swirling Saucers,2021-07-24 15:01:03.946074-04:00,35 mins
Slinky Dog Dash,2021-07-24 15:01:03.946115-04:00,105 mins
Star Wars Launch Bay,2021-07-24 15:01:03.946155-04:00,Closed
Tune-In Lounge,2021-07-24 15:01:03.946195-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 15:21:04.400622-04:00,Closed
Walt Disney Presents,2021-07-24 15:21:04.400660-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 15:21:04.400694-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 15:21:04.400735-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 15:21:04.400770-04:00,65 mins
Muppet*Vision 3D,2021-07-24 15:21:04.400804-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 15:21:04.400837-04:00,40 mins
Millennium Falcon,2021-07-24 15:21:04.400870-04:00,90 mins
SWGE Attraction 2,2021-07-24 15:21:04.400903-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 15:21:04.400936-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 15:21:04.400970-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 15:21:04.401003-04:00,60 mins
Alien Swirling Saucers,2021-07-24 15:21:04.401037-04:00,35 mins
Slinky Dog Dash,2021-07-24 15:21:04.401070-04:00,90 mins
Star Wars Launch Bay,2021-07-24 15:21:04.401103-04:00,Closed
Tune-In Lounge,2021-07-24 15:21:04.401153-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 15:41:05.661965-04:00,Closed
Walt Disney Presents,2021-07-24 15:41:05.662000-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 15:41:05.662034-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 15:41:05.662069-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 15:41:05.662103-04:00,65 mins
Muppet*Vision 3D,2021-07-24 15:41:05.662136-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 15:41:05.662169-04:00,40 mins
Millennium Falcon,2021-07-24 15:41:05.662201-04:00,75 mins
SWGE Attraction 2,2021-07-24 15:41:05.662234-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 15:41:05.662266-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 15:41:05.662299-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 15:41:05.662332-04:00,80 mins
Alien Swirling Saucers,2021-07-24 15:41:05.662365-04:00,35 mins
Slinky Dog Dash,2021-07-24 15:41:05.662397-04:00,80 mins
Star Wars Launch Bay,2021-07-24 15:41:05.662430-04:00,Closed
Tune-In Lounge,2021-07-24 15:41:05.662462-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 16:01:03.964788-04:00,Closed
Walt Disney Presents,2021-07-24 16:01:03.964826-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 16:01:03.964860-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 16:01:03.964894-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 16:01:03.964927-04:00,65 mins
Muppet*Vision 3D,2021-07-24 16:01:03.964960-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 16:01:03.964993-04:00,40 mins
Millennium Falcon,2021-07-24 16:01:03.965025-04:00,70 mins
SWGE Attraction 2,2021-07-24 16:01:03.965058-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 16:01:03.965090-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 16:01:03.965123-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 16:01:03.965156-04:00,70 mins
Alien Swirling Saucers,2021-07-24 16:01:03.965189-04:00,35 mins
Slinky Dog Dash,2021-07-24 16:01:03.965221-04:00,90 mins
Star Wars Launch Bay,2021-07-24 16:01:03.965253-04:00,Closed
Tune-In Lounge,2021-07-24 16:01:03.965286-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 16:21:03.673400-04:00,Closed
Walt Disney Presents,2021-07-24 16:21:03.673437-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 16:21:03.673471-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 16:21:03.673504-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 16:21:03.673538-04:00,55 mins
Muppet*Vision 3D,2021-07-24 16:21:03.673576-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 16:21:03.673610-04:00,40 mins
Millennium Falcon,2021-07-24 16:21:03.673642-04:00,75 mins
SWGE Attraction 2,2021-07-24 16:21:03.673675-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 16:21:03.673707-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 16:21:03.673740-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 16:21:03.673773-04:00,90 mins
Alien Swirling Saucers,2021-07-24 16:21:03.673806-04:00,35 mins
Slinky Dog Dash,2021-07-24 16:21:03.673838-04:00,90 mins
Star Wars Launch Bay,2021-07-24 16:21:03.673871-04:00,Closed
Tune-In Lounge,2021-07-24 16:21:03.673903-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 16:41:05.364413-04:00,Closed
Walt Disney Presents,2021-07-24 16:41:05.364449-04:00,20 mins
