Column1,Column2,Column3
Tusker House Restaurant,2021-07-24 11:21:05.311240-04:00,55 mins
Vultures - Disney Animals,2021-07-24 11:21:05.311275-04:00,Closed
White Rhinos - Disney Animals,2021-07-24 11:21:05.311309-04:00,Closed
Wilderness Explorers,2021-07-24 11:21:05.311346-04:00,Closed
Yak & Yeti™ Restaurant,2021-07-24 11:21:05.311380-04:00,Closed
Kilimanjaro Safaris,2021-07-24 11:41:03.594763-04:00,40 mins
Pangani Forest Exploration Trail,2021-07-24 11:41:03.594941-04:00,Open
Wildlife Express Train,2021-07-24 11:41:03.594998-04:00,Open
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 11:41:03.595039-04:00,45 mins
Kali River Rapids,2021-07-24 11:41:03.595078-04:00,65 mins
DINOSAUR,2021-07-24 11:41:03.595113-04:00,50 mins
The Boneyard,2021-07-24 11:41:03.595148-04:00,Closed
TriceraTop Spin,2021-07-24 11:41:03.595181-04:00,15 mins
It's Tough to be a Bug!,2021-07-24 11:41:03.595214-04:00,15 mins
Avatar Flight of Passage,2021-07-24 11:41:03.595249-04:00,135 mins
Na'vi River Journey,2021-07-24 11:41:03.595289-04:00,60 mins
The Animation Experience at Conservation Station,2021-07-24 11:41:03.595322-04:00,Open
Affection Section,2021-07-24 11:41:03.595356-04:00,Closed
African Birds - Disney Animals,2021-07-24 11:41:03.595389-04:00,Closed
African Elephants - Disney Animals,2021-07-24 11:41:03.595422-04:00,Closed
African Hogs - Disney Animals,2021-07-24 11:41:03.595456-04:00,Closed
African Lions - Disney Animals,2021-07-24 11:41:03.595489-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-24 11:41:03.595523-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-24 11:41:03.595556-04:00,Closed
Black Rhinos - Disney Animals,2021-07-24 11:41:03.595589-04:00,Closed
Conservation Station,2021-07-24 11:41:03.595655-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-24 11:41:03.595691-04:00,Closed
Dino-Sue,2021-07-24 11:41:03.595725-04:00,Closed
Discovery Island Trails,2021-07-24 11:41:03.595764-04:00,Closed
Flamingos - Disney Animals,2021-07-24 11:41:03.595799-04:00,Closed
Fossil Fun Games,2021-07-24 11:41:03.595832-04:00,Closed
Gibbons - Disney Animals,2021-07-24 11:41:03.595866-04:00,Closed
Giraffes - Disney Animals,2021-07-24 11:41:03.595899-04:00,Closed
Gorillas - Disney Animals,2021-07-24 11:41:03.595932-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-24 11:41:03.595965-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-24 11:41:03.595998-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-24 11:41:03.596033-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-24 11:41:03.596067-04:00,Closed
Meerkats - Disney Animals,2021-07-24 11:41:03.596100-04:00,Closed
Migratory Birds at Maharajah Jungle Trek - Disney Animals,2021-07-24 11:41:03.596133-04:00,Closed
Migratory Birds at The Oasis Exhibits - Disney Animals,2021-07-24 11:41:03.596166-04:00,Closed
Migratory Birds at Tree of Life - Disney Animals,2021-07-24 11:41:03.596200-04:00,Closed
Okapis - Disney Animals,2021-07-24 11:41:03.596233-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-24 11:41:03.596268-04:00,Closed
The Oasis Exhibits,2021-07-24 11:41:03.596303-04:00,Closed
Tigers - Disney Animals,2021-07-24 11:41:03.596336-04:00,Closed
Tree of Life,2021-07-24 11:41:03.596369-04:00,Closed
Tusker House Restaurant,2021-07-24 11:41:03.596402-04:00,35 mins
Vultures - Disney Animals,2021-07-24 11:41:03.596435-04:00,Closed
White Rhinos - Disney Animals,2021-07-24 11:41:03.596468-04:00,Closed
Wilderness Explorers,2021-07-24 11:41:03.596528-04:00,Closed
Yak & Yeti™ Restaurant,2021-07-24 11:41:03.596565-04:00,Closed
Kilimanjaro Safaris,2021-07-24 12:01:03.886196-04:00,55 mins
Pangani Forest Exploration Trail,2021-07-24 12:01:03.886371-04:00,Open
Wildlife Express Train,2021-07-24 12:01:03.886433-04:00,Open
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 12:01:03.886482-04:00,45 mins
Kali River Rapids,2021-07-24 12:01:03.886523-04:00,65 mins
DINOSAUR,2021-07-24 12:01:03.886560-04:00,50 mins
The Boneyard,2021-07-24 12:01:03.886596-04:00,Closed
TriceraTop Spin,2021-07-24 12:01:03.886630-04:00,15 mins
It's Tough to be a Bug!,2021-07-24 12:01:03.886665-04:00,15 mins
Avatar Flight of Passage,2021-07-24 12:01:03.886699-04:00,120 mins
Na'vi River Journey,2021-07-24 12:01:03.886733-04:00,55 mins
The Animation Experience at Conservation Station,2021-07-24 12:01:03.886766-04:00,Open
Affection Section,2021-07-24 12:01:03.886816-04:00,Closed
African Birds - Disney Animals,2021-07-24 12:01:03.886850-04:00,Closed
African Elephants - Disney Animals,2021-07-24 12:01:03.886883-04:00,Closed
African Hogs - Disney Animals,2021-07-24 12:01:03.886917-04:00,Closed
African Lions - Disney Animals,2021-07-24 12:01:03.886950-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-24 12:01:03.886983-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-24 12:01:03.887017-04:00,Closed
Black Rhinos - Disney Animals,2021-07-24 12:01:03.887053-04:00,Closed
Conservation Station,2021-07-24 12:01:03.887086-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-24 12:01:03.887118-04:00,Closed
Dino-Sue,2021-07-24 12:01:03.887151-04:00,Closed
